balloonsize,beacons,day,detected_burst.burst_ft,detected_burst.burst_m,detected_burst.detected,flight,flighttime,flighttime_secs,h2fill,landing_location.altitude_ft,landing_location.altitude_m,landing_location.distance_from_launch_km,landing_location.distance_from_launch_mi,landing_location.latitude,landing_location.longitude,launch_location.altitude_ft,launch_location.altitude_m,launch_location.latitude,launch_location.longitude,liftfactor,maxaltitude_ft,maxaltitude_m,numpoints,parachute.description,parachute.size_ft,parachute.size_m,parachute.weight_kg,parachute.weight_lb,range_distance_traveled_km,range_distance_traveled_mi,reynolds_transitions,weights.balloon_kg,weights.balloon_lb,weights.client_kg,weights.client_lb,weights.eoss_kg,weights.eoss_lb,weights.gross_kg,weights.gross_lb,weights.necklift_kg,weights.necklift_lb,weights.neckload_kg,weights.neckload_lb,weights.parachute_kg,weights.parachute_lb
3000gm,"[""KC0D-1"",""AE0SS-3""]",2025-11-2,101862.0,31047.54,true,EOSS-384,2hrs 6mins 0secs,7560.0,347,4828.0,1471.57,96.51,59.97,39.707166666666666,-103.16716666666666,4563.0,1390.8,40.224833333333336,-104.07716666666668,1.20,101770.0,31019.5,333,Rocketman,12.0,3.66,0.77,1.7,96.51,59.97,"[{""altitude_ft"":61358.0,""altitude_m"":18701.92,""transition"":""high_to_low""}]",3.0,6.61,4.27,9.42,1.66,3.67,9.71,21.41,8.65,19.07,6.71,14.79,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-2""]",2025-11-2,95917.0,29235.5,true,EOSS-385,1hrs 54mins 23secs,6863.0,355,4868.0,1483.77,90.3,56.11,39.74183333333333,-103.22433333333332,4557.0,1388.97,40.224833333333336,-104.07733333333331,1.20,95809.0,29202.58,331,Rocketman,12.0,3.66,0.77,1.7,90.3,56.11,"[{""altitude_ft"":12746.0,""altitude_m"":3884.98,""transition"":""low_to_high""},{""altitude_ft"":60675.0,""altitude_m"":18493.74,""transition"":""high_to_low""}]",3.0,6.61,4.61,10.16,1.56,3.44,9.94,21.92,8.93,19.69,6.94,15.3,0.77,1.7
3000gm,"[""KC0D-1"",""AE0SS-1"",""AE0SS-3""]",2025-11-8,100181.0,30535.17,true,EOSS-386,1hrs 37mins 50secs,5870.0,344,5140.0,1566.67,150.94,93.79,39.463166666666666,-102.612,4567.0,1392.02,40.224666666666664,-104.07716666666668,1.20,99888.0,30445.86,350,Rocketman,12.0,3.66,0.77,1.7,150.94,93.79,"[{""altitude_ft"":35549.0,""altitude_m"":10835.34,""transition"":""low_to_high""},{""altitude_ft"":66344.0,""altitude_m"":20221.65,""transition"":""high_to_low""}]",3.0,6.61,3.54,7.8,2.32,5.12,9.63,21.23,8.55,18.86,6.63,14.61,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-2""]",2025-11-8,89811.0,27374.39,true,EOSS-387,1hrs 37mins 7secs,5827.0,344,4606.0,1403.91,163.59,101.65,39.414,-102.47716666666666,4564.0,1391.11,40.224833333333336,-104.07716666666668,1.20,89477.0,27272.59,221,Rocketman,12.0,3.66,0.77,1.7,163.59,101.65,"[{""altitude_ft"":32114.0,""altitude_m"":9788.35,""transition"":""low_to_high""},{""altitude_ft"":73669.0,""altitude_m"":22454.31,""transition"":""high_to_low""}]",3.0,6.61,4.37,9.63,1.47,3.24,9.61,21.19,8.53,18.81,6.61,14.57,0.77,1.7
1500gm,"[""KC0D-3"",""KC0D-1"",""AE0SS-1""]",2025-12-6,76670.0,23369.02,true,EOSS-388,1hrs 52mins 30secs,6750.0,239,5967.0,1818.74,181.05,112.5,38.89266666666666,-102.15183333333331,5218.0,1590.45,39.60816666666667,-104.04216666666666,1.30,76515.0,23321.77,608,Rocketman,12.0,3.66,0.82,1.81,181.05,112.5,"[{""altitude_ft"":31496.0,""altitude_m"":9599.98,""transition"":""high_to_low""}]",1.5,3.31,1.76,3.88,2.09,4.61,6.17,13.6,6.52,14.38,4.67,10.3,0.82,1.81
1500gm,"[""KC0D-14"",""AE0SS-3""]",2025-12-6,91765.0,27969.97,true,EOSS-389,2hrs 5mins 0secs,7500.0,298,4178.0,1273.45,175.47,109.03,38.92883333333333,-102.20083333333334,5215.0,1589.53,39.60816666666667,-104.04216666666666,1.30,91662.0,27938.58,432,Rocketman,12.0,3.66,0.77,1.7,175.47,109.03,"[{""altitude_ft"":38686.0,""altitude_m"":11791.49,""transition"":""high_to_low""}]",1.5,3.31,4.42,9.74,1.0,2.2,7.68,16.94,8.49,18.72,6.19,13.64,0.77,1.7
1500gm,"[""KC0D-2"",""AE0SS-4""]",2025-12-6,94256.0,28729.23,true,EOSS-390,2hrs 5mins 59secs,7559.0,273,4873.0,1485.29,171.07,106.3,38.9445,-102.24733333333332,5209.0,1587.7,39.608,-104.04216666666666,1.30,94245.0,28725.88,381,Rocketman,12.0,3.66,0.77,1.7,171.07,106.3,"[{""altitude_ft"":38987.0,""altitude_m"":11883.24,""transition"":""high_to_low""}]",1.5,3.31,3.32,7.31,1.47,3.24,7.05,15.55,7.67,16.91,5.56,12.25,0.77,1.7
1500gm,"[""KC0D-2"",""AE0SS-2"",""AE0SS-1"",""K0SCC-14"",""K0SCC-13""]",2026-03-21,91900.0,28011.12,true,EOSS-391,1hrs 55mins 22secs,6922.0,242,5296.0,1614.22,67.32,41.83,39.32751666666667,-103.34693333333334,5211.0,1588.31,39.60831666666667,-104.04231666666666,1.30,91833.0,27990.7,924,Rocketman,12.0,3.66,0.77,1.7,67.32,41.83,"[{""altitude_ft"":61585.0,""altitude_m"":18771.11,""transition"":""high_to_low""}]",1.5,3.31,3.47,7.64,0.53,1.16,6.26,13.8,6.64,14.64,4.76,10.5,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-4""]",2026-04-04,84489.0,25752.25,true,EOSS-392,1hrs 38mins 1secs,5881.0,371,5794.0,1766.01,83.62,51.96,39.25783333333333,-103.17983333333332,5210.0,1588.01,39.60816666666667,-104.04216666666666,1.20,84283.0,25689.46,241,Rocketman,12.0,3.66,0.77,1.7,83.62,51.96,"[{""altitude_ft"":58392.0,""altitude_m"":17797.88,""transition"":""high_to_low""}]",3.0,6.61,5.07,11.18,1.53,3.38,10.37,22.86,9.44,20.82,7.37,16.25,0.77,1.7
3000gm,"[""AE0SS-1"",""AE0SS-3""]",2026-04-04,97827.0,29817.67,true,EOSS-393,2hrs 0mins 30secs,7230.0,374,4885.0,1488.95,96.51,59.97,39.25083333333333,-103.01733333333334,5214.0,1589.23,39.60816666666667,-104.04233333333332,1.20,97827.0,29817.67,456,Rocketman,12.0,3.66,0.79,1.75,96.51,59.97,"[{""altitude_ft"":62992.0,""altitude_m"":19199.96,""transition"":""high_to_low""}]",3.0,6.61,5.2,11.47,1.46,3.21,10.45,23.04,9.54,21.04,7.45,16.43,0.79,1.75
1500gm,"[""AE0SS-1"",""AE0SS-3""]",2026-04-12,91837.0,27991.92,true,EOSS-394,2hrs 7mins 30secs,7650.0,287,4595.0,1400.56,90.57,56.28,40.01166666666666,-103.12033333333332,5216.0,1589.84,39.608,-104.04216666666666,1.30,91612.0,27923.34,302,Rocketman,12.0,3.66,0.79,1.75,90.57,56.28,"[{""altitude_ft"":41952.0,""altitude_m"":12786.97,""transition"":""high_to_low""},{""altitude_ft"":54733.0,""altitude_m"":16682.62,""transition"":""low_to_high""}]",1.5,3.31,3.46,7.62,1.65,3.64,7.4,16.32,8.12,17.91,5.9,13.01,0.79,1.75
3000gm,"[""KC0D-2"",""K0SCC-13"",""AE0SS-4""]",2026-04-12,99167.0,30226.1,true,EOSS-395,1hrs 55mins 29secs,6929.0,460,4617.0,1407.26,85.13,52.9,39.89648333333333,-103.11896666666668,5211.0,1588.31,39.608,-104.04216666666666,1.20,99059.0,30193.18,353,Rocketman,12.0,3.66,0.77,1.7,85.13,52.9,"[{""altitude_ft"":12263.0,""altitude_m"":3737.76,""transition"":""low_to_high""},{""altitude_ft"":64144.0,""altitude_m"":19551.09,""transition"":""high_to_low""}]",3.0,6.61,7.02,15.47,2.08,4.58,12.86,28.36,12.44,27.42,9.87,21.75,0.77,1.7
