"flight","beacons","day","balloonsize","liftfactor","h2fill","parachute.description","parachute.size","weights.client","weights.eoss","weights.parachute","weights.neckload","weights.balloon","weights.gross","weights.necklift"
"EOSS-343","[""KC0D-12"",""AE0SS-9""]","2023-06-17","3000gm","1.20","243","Spherachute","10","3.13","2.87","2.40","8.40","6.61","15.01","11.40"
"EOSS-342","[""KC0D-14"",""AE0SS-12""]","2023-06-03","1500gm","1.30","255","Rocketman","10","5.58","4.22","1.39","11.20","3.31","14.50","15.55"
"EOSS-341","[""KC0D-14"",""AE0SS-12""]","2023-05-04","1500gm","1.35","218","Rocketman","12","2.80","4.22","1.63","8.66","3.31","11.96","12.85"
"EOSS-340","[""KC0D-1"",""AE0SS-13""]","2023-04-22","1500gm","1.30","269","Rocketman","12","6.01","4.29","1.70","12.00","3.31","15.31","16.59"
"EOSS-339","[""KC0D-14"",""AE0SS-12""]","2023-04-22","1500gm","1.30","289","Rocketman","12","7.16","4.29","1.70","13.15","3.31","16.46","18.09"
"EOSS-338","[""KC0D-14"",""AE0SS-12""]","2023-04-16","3000gm","1.20","445","Rocketman","12","15.00","4.71","1.15","20.86","6.61","27.47","26.35"
"EOSS-337","[""KC0D-1"",""AE0SS-13""]","2023-04-01","1500gm","1.30","266","Rocketman","12","5.38","4.75","1.70","11.82","3.31","15.13","16.36"
"EOSS-336","[""KC0D-14"",""AE0SS-12""]","2023-04-01","3000gm","1.20","407","Rocketman","12","12.61","4.71","1.15","18.47","6.61","25.08","23.48"
"EOSS-335","[""KC0D-1"",""KC0D-3"",""AE0SS-13""]","2023-03-26","3000gm","1.20","381","Rocketman","12","8.23","7.48","1.15","16.86","6.61","23.47","21.55"
"EOSS-334","[""KE0BMV-11"",""AE0SS-9""]","2023-01-14","1500gm","1.30","285","Rocketman","10","7.46","3.23","2.25","12.93","3.31","16.24","17.81"
"EOSS-333","[""KC0D-1"",""AE0SS-13""]","2023-01-14","1500gm","1.30","289","Rocketman","10","8.53","3.17","1.46","13.16","3.31","16.46","18.101"
"EOSS-332","[""KC0D-14"",""AE0SS-12""]","2023-01-14","1500gm","1.30","245","Rocketman","10","5.02","4.22","1.39","10.63","3.31","13.94","14.81"
"EOSS-331","[""KC0D-1"",""KC0D-3"",""AE0SS-12""]","2022-11-05","3000gm","1.20","411","Rocketman","12","11.26","6.33","1.15","18.73","6.61","25.35","23.80"
"EOSS-330","[""KC0D-1"",""AE0SS-12""]","2022-10-29","3000gm","1.20","460","Rocketman","12","15.87","4.74","1.15","21.76","6.61","28.37","27.43"
"EOSS-329","[""KC0D-1"",""KC0D-3"",""AE0SS-13""]","2022-10-15","1500gm","1.30","298","Rocketman","12","7.44","4.53","1.70","13.66","3.31","16.97","18.75"
"EOSS-328","[""KE0BMV-11"",""KC0D-3"",""KC0D-15""]","2022-07-30","1500gm","1.25","279","Rocketman","10","6.89","4.05","2.25","13.19","3.31","16.50","17.32"
"EOSS-327","[""KC0D-1"",""AE0SS-12""]","2022-07-30","1500gm","1.25","278","Rocketman","12","8.32","3.68","1.15","13.15","3.31","16.45","17.26"
"EOSS-326","[""KC0D-14"",""AE0SS-13""]","2022-07-30","1500gm","1.25","250","Rocketman","12","6.61","3.75","1.15","11.51","3.31","14.82","15.22"
"EOSS-325","[""KC0D-1"",""AE0SS-12""]","2022-04-24","1500gm","1.20","254","Rocketman","12","7.52","3.68","1.15","12.35","3.31","15.66","15.48"
"EOSS-324","[""KE0BMV-11"",""KC0D-15""]","2022-04-09","1500gm","1.25","283","Rocketman","10","8.62","2.60","2.25","13.47","3.31","16.77","17.66"
"EOSS-323","[""AE0SS-13"",""KC0D-14""]","2022-04-09","1500gm","1.25","238","Rocketman","12","4.78","4.33","1.70","10.80","3.31","14.11","14.33"
